"tumor_rad [mm]","Freq [GHz]","dB(St(pin_T1,pin_T1)) []"
1,14.49,-0.733811417559296
1,14.5375,-0.758311627974324
1,14.585,-0.783935726813346
1,14.6325,-0.810706193730308
1,14.68,-0.838649686373233
1,14.7275,-0.86779775539441
1,14.775,-0.89818735071088
1,14.8225,-0.929861180489353
1,14.87,-0.962867981167941
1,14.9175,-0.997262750104887
1,14.965,-1.03310698491122
1,15.0125,-1.07046896693773
1,15.06,-1.10942412175344
1,15.1075,-1.1500554873072
1,15.155,-1.19245432111145
1,15.2025,-1.23672088151187
1,15.25,-1.28296542532921
1,15.2975,-1.33130947559051
1,15.345,-1.38188742987701
1,15.3925,-1.43484860385818
1,15.44,-1.49035983873226
1,15.4875,-1.54860884998875
1,15.535,-1.60980856500586
1,15.5825,-1.67420279920971
1,15.63,-1.74207377183142
1,15.6775,-1.81375219007035
1,15.725,-1.88963097969339
1,15.7725,-1.97018428630309
1,15.82,-2.05599424448947
1,15.8675,-2.14778944051565
1,15.915,-2.24650139182628
1,15.9625,-2.35334950349193
1,16.01,-2.46997231279277
1,16.0575,-2.59863630583156
1,16.105,-2.74257905571529
1,16.1525,-2.90659288413289
1,16.2,-3.09805252928987
1,16.2475,-3.32877535251127
1,16.295,-3.61838184831384
1,16.3425,-3.99962699345751
1,16.39,-4.51981280196684
1,16.4375,-5.17611960210707
1,16.485,-5.47479923911229
1,16.5325,-4.40444696404975
1,16.58,-3.24754278382543
1,16.6275,-2.88762817205783
1,16.675,-2.90850328928199
1,16.7225,-3.05134215190312
1,16.77,-3.23134931246806
1,16.8175,-3.42272142240046
1,16.865,-3.61781826321486
1,16.9125,-3.81477666732072
1,16.96,-4.01361398126799
1,17.0075,-4.21493366919226
1,17.055,-4.41948383359021
1,17.1025,-4.62801389538827
1,17.15,-4.84124237334718
1,17.1975,-5.05987129860129
1,17.245,-5.28462809950292
1,17.2925,-5.51633663881401
1,17.34,-5.75603511791711
1,17.3875,-6.0051814164671
1,17.435,-6.26603142024109
1,17.4825,-6.54237603219967
1,17.53,-6.84106189856881
1,17.5775,-7.17532935514587
1,17.625,-7.57263281583344
1,17.6725,-8.09405365566457
1,17.72,-8.88269333033653
1,17.7675,-10.2530700527762
1,17.815,-12.4813322757398
1,17.8625,-13.8309680564752
1,17.91,-12.877299817767
1,17.9575,-11.925050739524
1,18.005,-11.4795337010118
1,18.0525,-11.3433309385469
1,18.1,-11.3715836716085
1,18.1475,-11.4881954521351
1,18.195,-11.6524154532547
1,18.2425,-11.8405720722958
1,18.29,-12.0375269597533
1,18.3375,-12.2326432454632
1,18.385,-12.4178318754637
1,18.4325,-12.5866017433115
1,18.48,-12.7336222958643
1,18.5275,-12.8545563732356
1,18.575,-12.9460303518092
1,18.6225,-13.0056594040281
1,18.67,-13.032073015812
1,18.7175,-13.0249052678958
1,18.765,-12.9847316925838
1,18.8125,-12.912950527408
1,18.86,-12.8116192481423
1,18.9075,-12.6832654271757
1,18.955,-12.5306934084888
1,19.0025,-12.3568057648879
1,19.05,-12.1644528802955
1,19.0975,-11.9563174309819
1,19.145,-11.7348347233472
1,19.1925,-11.5021456971133
1,19.24,-11.2600771040455
1,19.2875,-11.010142630173
1,19.335,-10.7535590549668
1,19.3825,-10.4912724515433
1,19.43,-10.223990552833
1,19.4775,-9.95221849654537
