Freq [GHz],S11 (dB),Phase
17.625,-5.718502764,-1.248466809
17.6725,-6.207394207,-1.288986952
17.72,-6.960024414,-1.333256578
17.7675,-8.215119991,-1.357938425
17.815,-9.988260516,-1.269216935
17.8625,-10.51538673,-1.010722753
17.91,-9.312501255,-0.873572848
17.9575,-8.4001667,-0.876180457
18.005,-8.016538945,-0.911601921
18.0525,-7.934261532,-0.946811743
18.1,-8.014033035,-0.976052737
18.1475,-8.188844056,-0.999374622
18.195,-8.426380811,-1.017687396
18.2425,-8.710541959,-1.031769826
18.29,-9.033191562,-1.042127648
18.3375,-9.39036794,-1.049017206
18.385,-9.780436309,-1.05248536
18.4325,-10.20312028,-1.052396075
18.48,-10.65893763,-1.048440425
18.5275,-11.14880745,-1.040131602
18.575,-11.67369286,-1.026786737
18.6225,-12.23417268,-1.007497273
18.67,-12.82982823,-0.981090909
18.7175,-13.45829673,-0.946092384
18.765,-14.11379392,-0.900700383
18.8125,-14.78488077,-0.842817732
18.86,-15.45135553,-0.770205325
18.9075,-16.08066264,-0.680870405
18.955,-16.62553902,-0.573806015
19.0025,-17.02672409,-0.450068449
19.05,-17.22519633,-0.313800277
19.0975,-17.18285505,-0.172328506
19.145,-16.8996998,-0.034606499
19.1925,-16.41350482,0.09143803
19.24,-15.78260229,0.200906376
19.2875,-15.06581157,0.292213783
19.335,-14.31052093,0.366142277
19.3825,-13.54980584,0.424667972
19.43,-12.80448873,0.470116243
19.4775,-12.08653964,0.504710026
19.525,-11.40210597,0.530388065
19.5725,-10.75372455,0.548766823
19.62,-10.1417909,0.561165134
19.6675,-9.565486263,0.568649473
19.715,-9.023344628,0.572080915
19.7625,-8.513591835,0.572156586
19.81,-8.034343996,0.569443819
19.8575,-7.583720378,0.564407334
19.905,-7.15990483,0.557430529
19.9525,-6.761176587,0.548832027
20,-6.385923103,0.538878523
